NO_DECLARATION,DATE_DECLARATION,DATE_PRIOR_INSP,EXT_FREQ,DATE_FIRST_EXT,DATE_LAST_EXT,HOOD_NUM,HOOD_NAME,BORO_NAME,MTM8_X,MTM8_Y,LONGITUDE,LATITUDE,LONG_LAT,MTM_X_Y,DEC_MONTH,DEC_ISSUE,DATE_DIFF
9130,2013-10-11,2013-10-11,1,2013-11-08,2013-11-08,44,Upper Lachine,Côte-des-Neiges–Notre-Dame-de-Grâce,293975.2,5034888.6,-73.6384,45.453844,-73.6384_45.453844000000004,293975.2_5034888.6,10,1,0
7133,2013-06-13,2013-05-09,4,2013-05-09,2013-09-27,37,Vieux-Montréal,Ville-Marie,300793.2,5041171.8,-73.55128,45.510455,-73.55128_45.510455,300793.2_5041171.8,6,1,35
4950,2013-01-24,2013-01-04,1,2013-01-09,2013-01-09,12,Parc-Jarry,Villeray–Saint-Michel–Parc-Extension,294466.4,5044851.1,-73.632329,45.543497,-73.632329_45.543496999999995,294466.4_5044851.1,1,1,20
5290,2013-02-18,2013-02-11,1,2013-02-15,2013-02-15,55,Chameran/Montpellier,Saint-Laurent,290764.1,5043554.5,-73.679702,45.531766,-73.679702_45.531766,290764.1_5043554.5,2,1,7
6477,2013-05-01,2013-03-20,2,2013-03-20,2013-03-20,43,Savane,Côte-des-Neiges–Notre-Dame-de-Grâce,292539.7,5039936,-73.656879,45.499239,-73.656879_45.499239,292539.7_5039936.0,5,1,42
5791,2013-03-20,2013-02-28,4,2013-10-31,2014-01-06,33,Parc-Laurier,Le Plateau-Mont-Royal,298362.2,5042737.1,-73.582413,45.524522,-73.582413_45.524522,298362.2_5042737.1,3,1,20
8890,2013-09-30,2013-09-09,1,2013-09-17,2013-10-31,26,Longue-Pointe,Mercier–Hochelaga-Maisonneuve,301380.1,5048445.2,-73.543819,45.575906,-73.543819_45.575905999999996,301380.1_5048445.2,9,1,21
4862,2013-01-17,2013-01-08,1,2013-01-14,2013-01-14,35,Saint-Louis,Le Plateau-Mont-Royal,299085.3,5041939.1,-73.573147,45.517347,-73.57314699999999_45.517346999999994,299085.3_5041939.1,1,1,9
6416,2013-04-30,2013-04-17,4,2013-04-17,2013-05-06,18,Vieux-Rosemont,Rosemont–La Petite-Patrie,299328.5,5045802.6,-73.570077,45.552115,-73.570077_45.552115,299328.5_5045802.6,4,1,13
9186,2013-10-17,2013-10-07,2,2013-10-07,2013-10-07,14,Saint-Édouard,Rosemont–La Petite-Patrie,297272.9,5043378.3,-73.596367,45.530281,-73.596367_45.530281,297272.9_5043378.3,10,1,10
13809,2014-09-23,2014-08-28,1,2014-08-28,2014-09-18,33,Parc-Laurier,Le Plateau-Mont-Royal,298744.6,5043323.6,-73.577525,45.529803,-73.577525_45.529803,298744.6_5043323.6,9,1,26
10278,2013-12-10,2013-12-06,3,2013-12-06,2014-01-09,21,Louis-Riel,Mercier–Hochelaga-Maisonneuve,300232.6,5049152.9,-73.558529,45.582268,-73.55852900000001_45.582268,300232.6_5049152.9,12,1,4
13175,2014-08-10,2014-08-05,1,2014-09-08,2014-09-08,15,Père-Marquette,Rosemont–La Petite-Patrie,297207.1,5044742,-73.597231,45.542551,-73.59723100000001_45.542551,297207.1_5044742.0,8,1,5
13788,2014-09-22,2014-09-10,4,2014-09-19,2014-11-13,27,Hochelaga,Mercier–Hochelaga-Maisonneuve,301746.9,5045206.3,-73.5391,45.546763,-73.5391_45.546763,301746.9_5045206.3,9,1,12
13646,2014-09-13,2014-09-12,1,2014-09-12,2014-09-12,43,Savane,Côte-des-Neiges–Notre-Dame-de-Grâce,294099.1,5039983,-73.636927,45.499687,-73.636927_45.499687,294099.1_5039983.0,9,1,1
13705,2014-09-16,2014-08-20,1,2014-08-21,2014-08-21,9,Gabriel-Sagard,Villeray–Saint-Michel–Parc-Extension,296292.9,5046315.5,-73.608965,45.556699,-73.608965_45.556699,296292.9_5046315.5,9,1,27
9412,2013-10-27,2013-03-23,1,2013-03-23,2013-03-23,7,Sainte-Lucie,Villeray–Saint-Michel–Parc-Extension,294809,5047914.1,-73.628005,45.571065,-73.628005_45.571065000000004,294809.0_5047914.1,10,1,218
9811,2013-11-14,2013-10-01,1,2013-10-04,2013-10-04,16,Louis-Hébert,Rosemont–La Petite-Patrie,297251.3,5044809.5,-73.596666,45.543159,-73.596666_45.543159,297251.3_5044809.5,11,1,44
9920,2013-11-20,2013-11-04,1,2014-02-24,2014-02-24,13,Crémazie,Villeray–Saint-Michel–Parc-Extension,295785.9,5044906.1,-73.615433,45.544011,-73.615433_45.544011,295785.9_5044906.1,11,1,16
13316,2014-08-21,2014-08-12,1,2014-08-14,2014-08-14,39,Montagne,Ville-Marie,298605.3,5039325.1,-73.579258,45.493821,-73.579258_45.493821000000004,298605.3_5039325.1,8,1,9
13878,2014-09-25,2014-09-04,3,2014-09-09,2014-11-28,44,Upper Lachine,Côte-des-Neiges–Notre-Dame-de-Grâce,295562.2,5036263.4,-73.618135,45.466238,-73.618135_45.466238,295562.2_5036263.4,9,1,21
13948,2014-09-26,2014-09-17,1,2014-09-17,2014-09-17,26,Longue-Pointe,Mercier–Hochelaga-Maisonneuve,301942.1,5048886.2,-73.536621,45.579878,-73.536621_45.579878,301942.1_5048886.2,9,1,9
9885,2013-11-19,2013-11-07,1,2013-11-18,2013-11-18,31,Lorimier,Le Plateau-Mont-Royal,298802.6,5044242.1,-73.576794,45.538068,-73.57679399999999_45.538068,298802.6_5044242.1,11,1,12
