NO_DECLARATION,DATE_DECLARATION,DATE_PRIOR_INSP,EXT_FREQ,DATE_FIRST_EXT,DATE_LAST_EXT,HOOD_NUM,HOOD_NAME,BORO_NAME,MTM8_X,MTM8_Y,LONGITUDE,LATITUDE,LONG_LAT,MTM_X_Y,DEC_MONTH,DEC_ISSUE,DATE_DIFF
5742,2013-03-20,2013-03-14,1,2013-03-14,2013-03-14,40,Snowdon,Côte-des-Neiges–Notre-Dame-de-Grâce,293994.6,5038625.4,-73.638234,45.487469,-73.638234_45.487469,293994.6_5038625.4,3,1,6
9200,2013-10-17,2013-10-11,4,2013-10-11,2013-12-10,29,Préfontaine,Mercier–Hochelaga-Maisonneuve,300785,5045213.1,-73.551418,45.54682,-73.551418_45.546820000000004,300785.0_5045213.1,10,1,6
7541,2013-06-28,2013-06-21,4,2013-06-21,2013-09-12,6,La Visitation,Ahuntsic-Cartierville,292777.3,5048614.6,-73.654052,45.577336,-73.65405200000001_45.577335999999995,292777.3_5048614.6,6,1,7
8268,2013-08-14,2013-06-28,1,2013-07-12,2013-07-12,63,Grande-Prairie,Saint-Léonard,299241,5049383.8,-73.571239,45.584338,-73.571239_45.584338,299241.0_5049383.8,8,1,47
6958,2013-06-07,2013-04-17,4,2013-04-17,2013-08-15,32,Parc-Lafontaine,Le Plateau-Mont-Royal,298972.8,5042787.9,-73.574597,45.524984,-73.574597_45.524984,298972.8_5042787.9,6,1,51
7153,2013-06-13,2013-06-07,1,2013-06-07,2013-06-07,52,Marc-Aurèle-Fortin,Rivière-des-Prairies–Pointe-aux-Trembles,296980.8,5055335.6,-73.600298,45.637873,-73.600298_45.637873,296980.8_5055335.6,6,1,6
4833,2013-01-14,2013-01-07,1,2013-01-25,2013-01-25,28,Maisonneuve,Mercier–Hochelaga-Maisonneuve,301924.2,5046352.6,-73.536836,45.557079,-73.536836_45.557078999999995,301924.2_5046352.6,1,1,7
4937,2013-01-22,2013-01-16,1,2013-01-30,2013-01-30,31,Lorimier,Le Plateau-Mont-Royal,299456.9,5044003,-73.568413,45.535923,-73.568413_45.535923,299456.9_5044003.0,1,1,6
5537,2013-03-04,2013-02-19,1,2013-02-22,2013-02-22,50,Saint-Henri,Le Sud-Ouest,297889.9,5037866,-73.588391,45.480686,-73.588391_45.480686,297889.9_5037866.0,3,1,13
5941,2013-03-27,2013-03-11,1,2013-03-11,2013-03-11,6,La Visitation,Ahuntsic-Cartierville,293332.6,5048486.3,-73.646933,45.57619,-73.64693299999999_45.576190000000004,293332.6_5048486.3,3,1,16
6897,2013-06-06,2013-05-23,4,2013-05-03,2013-07-19,36,Milton-Parc,Le Plateau-Mont-Royal,299198.4,5040863.1,-73.571687,45.507666,-73.571687_45.507666,299198.4_5040863.1,6,1,14
4808,2013-01-11,2013-01-08,1,2013-01-09,2013-01-09,7,Sainte-Lucie,Villeray–Saint-Michel–Parc-Extension,294537.8,5047999.6,-73.63148,45.57183,-73.63148000000001_45.57183,294537.8_5047999.6,1,1,3
5042,2013-02-05,2012-08-23,1,2012-08-27,2012-08-27,31,Lorimier,Le Plateau-Mont-Royal,299536.1,5043297.2,-73.567391,45.529572,-73.567391_45.529571999999995,299536.1_5043297.2,2,1,166
6124,2013-04-08,2013-02-21,2,2013-02-18,2013-02-25,64,Verdun-Centre,Verdun,299505.7,5035053,-73.567692,45.455387,-73.56769200000001_45.455387,299505.7_5035053.0,4,1,46
7992,2013-08-01,2013-07-22,4,2013-07-22,2013-08-26,5,Saint-Sulpice,Ahuntsic-Cartierville,293463.8,5046341.6,-73.645203,45.556894,-73.64520300000001_45.556894,293463.8_5046341.6,8,1,10
8255,2013-08-13,2013-08-06,3,2013-08-06,2013-08-27,22,Dupéré,Mercier–Hochelaga-Maisonneuve,302121.4,5051296.8,-73.534337,45.60157,-73.534337_45.60157,302121.4_5051296.8,8,1,7
6500,2013-05-01,2013-03-06,3,2013-03-06,2013-03-21,70,Vieux-Lachine - Saint-Pierre,Lachine,289908.1,5033334.9,-73.690353,45.439787,-73.690353_45.439787,289908.1_5033334.9,5,1,56
4817,2013-01-11,2013-01-07,1,2013-01-09,2013-01-09,63,Grande-Prairie,Saint-Léonard,299241,5049383.8,-73.571239,45.584338,-73.571239_45.584338,299241.0_5049383.8,1,1,4
5568,2013-03-07,2012-12-21,1,2012-12-24,2012-12-24,9,Gabriel-Sagard,Villeray–Saint-Michel–Parc-Extension,296992.3,5045999.7,-73.600002,45.553866,-73.600002_45.553866,296992.3_5045999.7,3,1,76
7031,2013-06-12,2013-06-04,4,2013-06-04,2013-10-07,31,Lorimier,Le Plateau-Mont-Royal,299576.9,5043841.6,-73.566875,45.534471,-73.566875_45.534471,299576.9_5043841.6,6,1,8
5769,2013-03-20,2013-02-27,1,2013-02-27,2013-02-27,50,Saint-Henri,Le Sud-Ouest,298286.5,5037204.5,-73.583309,45.474737,-73.583309_45.474737,298286.5_5037204.5,3,1,21
8031,2013-08-05,2013-07-10,1,2013-07-17,2013-07-17,38,René-Lévesque,Ville-Marie,299634.3,5042224.3,-73.566123,45.519918,-73.566123_45.519918,299634.3_5042224.3,8,1,26
6853,2013-06-05,2013-05-13,2,2013-05-13,2013-05-13,30,Sainte-Marie,Ville-Marie,300894.9,5044212.6,-73.550003,45.537818,-73.550003_45.537818,300894.9_5044212.6,6,1,23
8446,2013-09-17,2013-08-30,1,2013-10-17,2013-10-17,50,Saint-Henri,Le Sud-Ouest,298589,5037923.5,-73.579448,45.481209,-73.579448_45.481209,298589.0_5037923.5,9,1,18
5516,2013-03-02,2013-02-01,1,2013-02-01,2013-02-01,19,Petite-Côte,Rosemont–La Petite-Patrie,300346.6,5045149.1,-73.557032,45.546242,-73.55703199999999_45.546242,300346.6_5045149.1,3,1,29
7326,2013-06-20,2013-02-15,1,2013-02-19,2013-02-25,18,Vieux-Rosemont,Rosemont–La Petite-Patrie,299454.5,5046570.8,-73.568472,45.559028,-73.568472_45.559028000000005,299454.5_5046570.8,6,1,125
7357,2013-06-25,2013-05-21,1,2013-06-21,2013-06-21,50,Saint-Henri,Le Sud-Ouest,297443.2,5036734.6,-73.594088,45.470499,-73.594088_45.470499,297443.2_5036734.6,6,1,35
6699,2013-05-23,2013-05-08,3,2013-05-08,2014-01-20,32,Parc-Lafontaine,Le Plateau-Mont-Royal,298972.8,5042787.9,-73.574597,45.524984,-73.574597_45.524984,298972.8_5042787.9,5,1,15
6903,2013-06-06,2013-05-03,4,2013-05-03,2013-07-25,32,Parc-Lafontaine,Le Plateau-Mont-Royal,298972.8,5042787.9,-73.574597,45.524984,-73.574597_45.524984,298972.8_5042787.9,6,1,34
7214,2013-06-18,2013-04-18,1,2013-05-08,2013-05-08,49,Ville-Émard,Le Sud-Ouest,297553.2,5034700.5,-73.59265,45.452197,-73.59265_45.452197,297553.2_5034700.5,6,1,61
